GO	term	class	p	p_corr	n_genes	n_study	n_go	study_genes	per	class_label
GO:0007409	axonogenesis	biological_process	2.9490515338243816e-05	0.0015198147726102082	31	4582	70	['RAB10', 'CNTN4', 'S100B', 'FAT4', 'CELSR1', 'SLITRK2', 'CELSR2', 'MAP1S', 'MAP1A', 'MAP1B', 'CDHR2', 'ACTBL2', 'SLITRK4', 'POTEF', 'ACTB', 'ACTG1', 'APLP1', 'APLP2', 'SLITRK3', 'POTEI', 'FGFR2', 'BAIAP2', 'SLITRK6', 'DCC', 'APP', 'PARD3', 'SHTN1', 'SLITRK1', 'CCK', 'ATL1', 'RAB8A']	0.44285714285714284	Biological Process
GO:0030574	collagen catabolic process	biological_process	3.062604481404382e-05	0.001570323241962724	18	4582	32	['MMP11', 'MMP25', 'MMP14', 'CTSB', 'MMP19', 'CTSK', 'CTSL', 'PRSS2', 'MRC2', 'CTSS', 'PLG', 'FURIN', 'MMP1', 'MMP2', 'MMP3', 'MMP7', 'MMP8', 'MMP9']	0.5625	Biological Process
GO:0034063	stress granule assembly	biological_process	3.539168566710593e-05	0.0018055122066840254	16	4582	27	['CIRBP', 'G3BP1', 'CSDE1', 'ATXN2L', 'UBAP2L', 'MAPT', 'EIF2S1', 'PRRC2C', 'LSM14A', 'DYNC1H1', 'G3BP2', 'RPS23', 'DDX3X', 'DDX6', 'ANG', 'FMR1']	0.5925925925925926	Biological Process
GO:0034605	cellular response to heat	biological_process	3.6230554818343066e-05	0.0018390192674376045	19	4582	39	['TPR', 'DNAJB1', 'DHX36', 'EEF1D', 'PDCD6', 'STUB1', 'HTRA2', 'MAPT', 'SUMO1', 'DNAJA2', 'BAG3', 'PRKACA', 'HMOX1', 'HSPA1A', 'YWHAE', 'HSPA6', 'VCP', 'HSP90AA1', 'HSP90AB1']	0.48717948717948717	Biological Process
GO:0001938	positive regulation of endothelial cell proliferation	biological_process	3.723232111846823e-05	0.0018804183780882378	25	4582	52	['FLT4', 'THBS4', 'ANG', 'EGF', 'PDCD6', 'PDGFB', 'TNFSF12', 'SCG2', 'MYDGF', 'EMC10', 'PRKCA', 'HMGB2', 'SEMA5A', 'AKT1', 'KDR', 'GDF2', 'TEK', 'ECM1', 'ITGB3', 'LRG1', 'CDH13', 'PLXNB3', 'NRP2', 'NRP1', 'VEGFA']	0.4807692307692308	Biological Process
GO:0007417	central nervous system development	biological_process	3.821332092624129e-05	0.0019203619635620062	47	4582	121	['SEMA6B', 'GSTP1', 'S100B', 'RELN', 'CELSR1', 'NPTX1', 'SERPINI1', 'NRCAM', 'B3GNT5', 'NCKAP1', 'ADAM23', 'PTPRZ1', 'PTS', 'BTD', 'ACAN', 'TPP1', 'RPS6KA3', 'CAPG', 'NCAN', 'VCAN', 'SH3GL1', 'TAGLN3', 'MBP', 'EIF2B2', 'SPTBN1', 'ECRG4', 'DNER', 'SHH', 'HAPLN3', 'APLP1', 'APLP2', 'BCAN', 'MARCKSL1', 'APP', 'ALDH3A2', 'PDGFC', 'SCIN', 'ADGRA2', 'ALDH5A1', 'ADAM22', 'SLC2A1', 'MARCKS', 'GSN', 'CNTN6', 'HTT', 'DHX30', 'HAPLN1']	0.3884297520661157	Biological Process
GO:0045454	cell redox homeostasis	biological_process	4.109244092137535e-05	0.002054825473994121	20	4582	38	['TXNRD1', 'SEPHS1', 'ERP44', 'GIT1', 'GCLC', 'GLRX3', 'ERO1A', 'PRDX4', 'PRDX3', 'PRDX1', 'GPX1', 'NQO1', 'BOLA2', 'PRDX2', 'TXNRD2', 'PRDX5', 'TXN2', 'PRDX6', 'GSR', 'TXN']	0.5263157894736842	Biological Process
GO:0001569	branching involved in blood vessel morphogenesis	biological_process	4.285881114018094e-05	0.0021023887339835204	10	4582	15	['GDF2', 'COL4A1', 'SHH', 'ENG', 'TGFBR2', 'KDR', 'NOTCH4', 'SFRP2', 'NRP1', 'VEGFA']	0.6666666666666666	Biological Process
GO:0071404	cellular response to low-density lipoprotein particle stimulus	biological_process	4.285881114018094e-05	0.0021023887339835204	10	4582	18	['CD9', 'TGFB1', 'SYK', 'ITGB1', 'ITGB2', 'CES1', 'LDLR', 'CD81', 'CD36', 'FCER1G']	0.5555555555555556	Biological Process
GO:0030194	positive regulation of blood coagulation	biological_process	4.3084295409819697e-05	0.0021023887339835204	8	4582	9	['F2', 'HPSE', 'EMILIN1', 'F12', 'SERPINE1', 'ST3GAL4', 'ENPP4', 'APOH']	0.8888888888888888	Biological Process
